Name,PrivacyPolicyURL,LLM Q1,LLM Q2,LLM Q3
blackbaud,https://www.blackbaud.com/company/privacy-policy/north-america,"[1, 0, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
advertise4sales,https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 0, 1, 1, 0, 1]"
irys,https://www.irys.us/privacy-policy,"[1, 1, 2, 2, 0]","[0, 1, 1]","[1, 1, 1, 1, 0, 1]"
listservicedirect,https://listservicedirect.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 0, 1, 1, 0, 1]"
erepublic,https://www.erepublic.com/privacy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 0, 1, 0, 0, 1]"
gundersondirect,https://gundir.com/privacy-policy/,"[1, 2, 2, 2, 1]","[1, 1, 2]","[0, 1, 1, 0, 0, 1]"
privcomedia,https://www.privco.com/privacy-policy,"[1, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
privaterecords,https://www.privaterecords.net/optout/name/landing,"[1, 1, 0, 0, 1]","[1, 1, 1]","[1, 1, 1, 1, 0, 1]"
usmarketinggroup,https://usmarketinggrp.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
convergedirect,https://www.convergedirect.com/compliance,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
